Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_inr,Touchscreen_Flag,IPSpanel_Flag,Retina_Flag,Pixels,PPI_proxy,TotalStorage,CPU_brand,GPU_brand,OS_clean,Type_clean,PriceBand
HP,250 G6,Notebook,15.6,4,No OS,1.86,393.9,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620,43325,0,0,0,1049088,4310.848126,500,Intel,Intel,No Os,Notebook,Budget
HP,250 G6,Notebook,15.6,4,No OS,1.86,344.99,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,37945,0,0,0,2073600,8520.710059,500,Intel,Intel,No Os,Notebook,Budget
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2439.97,Standard,2880,1800,No,Yes,Yes,Intel,2.8,Core i7,256,0,SSD,No,AMD,Radeon Pro 555,268372,0,1,1,5184000,21858.66082,256,Intel,Amd,Macos,Ultrabook,Premium
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,498.9,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,54874,0,0,0,2073600,8520.710059,256,Intel,Amd,Windows 10,Notebook,Budget
Apple,"MacBook 12""",Ultrabook,12,8,macOS,0.92,1262.4,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615,138851,0,1,1,3317760,23040,256,Intel,Intel,Macos,Ultrabook,Upper-Mid
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1518.55,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 640,167025,0,1,1,4096000,23155.63344,256,Intel,Intel,Macos,Ultrabook,Premium
Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.2,745,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R5 M430,81943,0,0,0,2073600,8520.710059,256,Intel,Amd,Windows 10,Notebook,Mid
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2858,Standard,2880,1800,No,Yes,Yes,Intel,2.9,Core i7,512,0,SSD,No,AMD,Radeon Pro 560,314351,0,1,1,5184000,21858.66082,512,Intel,Amd,Macos,Ultrabook,Ultra
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,499,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX,54885,0,0,0,2073600,8520.710059,1024,Intel,Nvidia,No Os,Notebook,Budget
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.22,979,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,107680,1,1,0,2073600,11722.53943,128,Intel,Intel,Windows 10,Ultrabook,Mid
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,999,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,109880,0,1,0,2073600,8520.710059,1152,Intel,Nvidia,Windows 10,Gaming,Mid
HP,255 G6,Notebook,15.6,4,No OS,1.86,258,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,28377,0,0,0,1049088,4310.848126,500,Amd,Amd,No Os,Notebook,Budget
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,819,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,90082,1,0,0,2073600,11722.53943,256,Intel,Intel,Windows 10,2 In 1 Convertible,Mid
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,Windows 10,1.91,659,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,HD Graphics 620,72483,0,0,0,2073600,8520.710059,256,Intel,Intel,Windows 10,Ultrabook,Mid
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,418.64,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,46046,0,0,0,1049088,4310.848126,1024,Intel,Intel,Windows 10,Notebook,Budget
Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,1099,Standard,1440,900,No,No,No,Intel,1.6,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,120879,0,0,0,1296000,7326.587145,128,Intel,Intel,Macos,Ultrabook,Upper-Mid
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,800,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,87992,0,0,0,2073600,8520.710059,256,Intel,Amd,Windows 10,Notebook,Mid
Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1298,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,142767,0,0,0,2073600,8520.710059,512,Intel,Intel,Windows 10,Ultrabook,Upper-Mid
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,896,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,98551,0,0,0,2073600,6928.397207,1024,Intel,Nvidia,Windows 10,Notebook,Mid
Chuwi,"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,244.99,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,26946,0,0,0,2073600,8520.710059,64,Intel,Intel,Windows 10,Notebook,Budget
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,2,Windows 10,1.65,199,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,21888,0,0,0,1049088,5352.489796,32,Amd,Amd,Windows 10,Notebook,Budget
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,Windows 10,2.71,439,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530,48286,0,0,0,2073600,6928.397207,500,Amd,Amd,Windows 10,Notebook,Budget
Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,1869,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,205571,1,0,0,5760000,32562.60953,512,Intel,Intel,Windows 10,Ultrabook,Premium
Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,998,Standard,1440,900,No,No,No,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,109770,0,0,0,1296000,7326.587145,256,Intel,Intel,Macos,Ultrabook,Mid
Lenovo,IdeaPad 120S-14IAP,Notebook,14,4,Windows 10,1.44,249,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,27388,0,0,0,1049088,5352.489796,64,Intel,Intel,Windows 10,Notebook,Budget
Acer,Aspire 3,Notebook,15.6,4,Linux,2.1,367,Standard,1366,768,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620,40366,0,0,0,1049088,4310.848126,1024,Intel,Intel,Linux,Notebook,Budget
Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,979,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,107680,0,1,0,2073600,6928.397207,1152,Intel,Amd,Windows 10,Notebook,Mid
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,488.69,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,53751,0,0,0,1049088,4310.848126,1024,Intel,Intel,Windows 10,Notebook,Budget
HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,879,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 930MX ,96681,0,0,0,2073600,8520.710059,256,Intel,Nvidia,Windows 10,Notebook,Mid
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,Linux,2,389,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 620,42786,0,0,0,2073600,8520.710059,1024,Intel,Intel,Linux,Notebook,Budget
Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1499,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1060,164875,0,1,0,2073600,8520.710059,1280,Intel,Nvidia,Windows 10,Gaming,Upper-Mid
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,522.99,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 940MX,57524,0,0,0,1049088,4310.848126,1024,Intel,Nvidia,Linux,Notebook,Mid
Acer,Aspire A515-51G,Notebook,15.6,4,Windows 10,2.2,682,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,75013,0,1,0,2073600,8520.710059,256,Intel,Intel,Windows 10,Notebook,Mid
Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,Windows 10,2.77,999,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 150MX,109880,1,0,0,2073600,6928.397207,1024,Intel,Nvidia,Windows 10,2 In 1 Convertible,Mid
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1419,Standard,2560,1600,No,Yes,Yes,Intel,2,Core i5,256,0,SSD,No,Intel,Iris Graphics 540,156076,0,1,1,4096000,23155.63344,256,Intel,Intel,Macos,Ultrabook,Upper-Mid
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,369,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,40586,0,0,0,1049088,4310.848126,128,Intel,Intel,No Os,Notebook,Budget
Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,1299,Full HD,1920,1080,No,No,No,AMD,3,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,142877,0,0,0,2073600,6928.397207,1280,Amd,Amd,Windows 10,Gaming,Upper-Mid
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,639,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,70284,0,0,0,2073600,8520.710059,256,Intel,Amd,Windows 10,Notebook,Mid
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2.8,466,Standard,1366,768,No,No,No,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Nvidia,GeForce 920MX,51255,0,0,0,1049088,3505.255772,1024,Intel,Nvidia,Windows 10,Notebook,Budget
Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,Android,0.69,319,Standard,1920,1200,Yes,Yes,No,Intel,1.44,Atom x5-Z8550,64,0,Flash Storage,No,Intel,HD Graphics 400,35087,1,1,0,2304000,22586.02098,64,Intel,Intel,Android,2 In 1 Convertible,Budget
Acer,Aspire A515-51G,Notebook,15.6,8,Windows 10,2.2,841,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce MX150,92502,0,1,0,2073600,8520.710059,256,Intel,Nvidia,Windows 10,Notebook,Mid
HP,255 G6,Notebook,15.6,4,Windows 10,1.86,398.49,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,256,0,SSD,No,AMD,Radeon R4 Graphics,43830,0,0,0,2073600,8520.710059,256,Amd,Amd,Windows 10,Notebook,Budget
HP,ProBook 430,Notebook,13.3,8,Windows 10,1.49,1103,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,121319,0,0,0,2073600,11722.53943,512,Intel,Intel,Windows 10,Notebook,Upper-Mid
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.4,384,Standard,1366,768,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,42236,0,0,0,1049088,4310.848126,1024,Intel,Intel,Windows 10,Notebook,Budget
Dell,Inspiron 3576,Notebook,15.6,8,Windows 10,2.13,767.8,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 520,84450,0,0,0,2073600,8520.710059,256,Intel,Amd,Windows 10,Notebook,Mid
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,439,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,48286,0,0,0,2073600,8520.710059,128,Intel,Intel,Windows 10,Notebook,Budget
Asus,VivoBook Max,Notebook,15.6,4,Windows 10,2,586.19,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,64475,0,0,0,1049088,4310.848126,256,Intel,Intel,Windows 10,Notebook,Mid
MSI,GS73VR 7RG,Gaming,17.3,16,Windows 10,2.43,2449,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,269366,0,0,0,2073600,6928.397207,2304,Intel,Nvidia,Windows 10,Gaming,Premium
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,Linux,2,415,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,Intel,HD Graphics 520,45646,0,0,0,2073600,8520.710059,256,Intel,Intel,Linux,Notebook,Budget
Dell,Inspiron 5770,Notebook,17.3,16,Windows 10,2.8,1299,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,142877,0,0,0,2073600,6928.397207,2304,Intel,Amd,Windows 10,Notebook,Upper-Mid
Dell,Vostro 5471,Ultrabook,14,8,Windows 10,1.7,879,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,96681,0,0,0,2073600,10579.59184,256,Intel,Intel,Windows 10,Ultrabook,Mid
Lenovo,IdeaPad 520S-14IKB,Notebook,14,8,No OS,1.7,599,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i3 7130U,256,0,SSD,No,Intel,HD Graphics 620,65884,0,1,0,2073600,10579.59184,256,Intel,Intel,No Os,Notebook,Mid
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,8,Windows 10,1.4,941,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,103501,0,0,0,2073600,10579.59184,256,Intel,Intel,Windows 10,Notebook,Mid
HP,250 G6,Notebook,15.6,8,Windows 10,1.86,690,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,75893,0,0,0,2073600,8520.710059,256,Intel,Intel,Windows 10,Notebook,Mid
Asus,ZenBook Pro,Ultrabook,15.6,16,Windows 10,1.8,1983,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,218110,0,0,0,2073600,8520.710059,512,Intel,Nvidia,Windows 10,Ultrabook,Premium
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,438.69,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,AMD,Radeon 520,48252,0,0,0,1049088,4310.848126,500,Intel,Amd,Windows 10,Notebook,Budget
HP,Stream 14-AX040wm,Notebook,14,4,Windows 10,1.44,229,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,SSD,No,Intel,HD Graphics 400,25188,0,0,0,1049088,5352.489796,32,Intel,Intel,Windows 10,Notebook,Budget
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.9,549,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,60385,0,0,0,2073600,8520.710059,1024,Intel,Intel,Windows 10,Notebook,Mid
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,Linux,3,949,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050 Ti,104381,0,0,0,2073600,6928.397207,1024,Intel,Nvidia,Linux,Gaming,Mid
Microsoft,Surface Laptop,Ultrabook,13.5,4,Windows 10 S,1.252,1089,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,119779,1,0,0,3393024,18617.41564,128,Intel,Intel,Windows 10 S,Ultrabook,Upper-Mid
Dell,Inspiron 5370,Ultrabook,13.3,8,Windows 10,1.4,955,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,105040,0,1,0,2073600,11722.53943,256,Intel,Amd,Windows 10,Ultrabook,Mid
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,870,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,95691,0,0,0,2073600,8520.710059,256,Intel,Amd,Windows 10,Notebook,Mid
MSI,GL72M 7RDX,Gaming,17.3,8,Windows 10,2.7,1095,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,120439,0,0,0,2073600,6928.397207,1152,Intel,Nvidia,Windows 10,Gaming,Upper-Mid
Acer,Aspire E5-475,Notebook,14,8,Windows 10,2.1,389,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,42786,0,0,0,1049088,5352.489796,1024,Intel,Intel,Windows 10,Notebook,Budget
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,Windows 10,2.2,949,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,104381,0,0,0,2073600,8520.710059,1024,Intel,Nvidia,Windows 10,Gaming,Mid
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,519,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,57085,0,0,0,2073600,8520.710059,2048,Intel,Intel,No Os,Notebook,Mid
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,855,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,1024,SSD,HDD,Intel,UHD Graphics 620,94041,0,0,0,2073600,8520.710059,1152,Intel,Intel,Windows 10,Notebook,Mid
Acer,Aspire A515-51G-32MX,Notebook,15.6,4,Windows 10,2.2,530,Full HD,1920,1080,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Nvidia,GeForce MX130,58295,0,0,0,2073600,8520.710059,1024,Intel,Nvidia,Windows 10,Notebook,Mid
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,977,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 930MX,107460,0,0,0,2073600,6928.397207,1152,Intel,Nvidia,Windows 10,Notebook,Mid
Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1096.16,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,120567,0,1,0,2073600,8520.710059,256,Intel,Intel,Windows 10,Ultrabook,Upper-Mid
Apple,"MacBook 12""",Ultrabook,12,8,macOS,0.92,1510,Standard,2304,1440,No,Yes,Yes,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615,166085,0,1,1,3317760,23040,512,Intel,Intel,Macos,Ultrabook,Premium
HP,ProBook 440,Notebook,14,8,Windows 10,1.63,860,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620,94591,0,0,0,2073600,10579.59184,256,Intel,Intel,Windows 10,Notebook,Mid
Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,Windows 10,2.2,399,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,128,0,SSD,No,AMD,R4 Graphics,43886,0,0,0,2073600,8520.710059,128,Amd,Amd,Windows 10,Notebook,Budget
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,395,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,1024,0,HDD,No,AMD,Radeon R5,43446,0,0,0,1049088,4310.848126,1024,Amd,Amd,Windows 10,Notebook,Budget
Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1349,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,148377,0,1,0,2073600,8520.710059,1152,Intel,Nvidia,Windows 10,Gaming,Upper-Mid
HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,Windows 10,1.83,699,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce GTX 940MX,76883,0,1,0,2073600,8520.710059,256,Intel,Nvidia,Windows 10,Ultrabook,Mid
HP,250 G6,Notebook,15.6,8,Windows 10,1.96,598.99,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,65883,0,0,0,2073600,8520.710059,256,Intel,Intel,Windows 10,Notebook,Mid
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,Windows 10,2.2,1449,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,159376,0,1,0,2073600,8520.710059,1152,Intel,Nvidia,Windows 10,Gaming,Upper-Mid
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1649,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,181374,0,1,0,2073600,11722.53943,256,Intel,Intel,Windows 10,Ultrabook,Premium
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,Windows 10,2.45,699,Full HD,1920,1080,No,No,No,AMD,3,FX 9830P,1024,0,HDD,No,AMD,Radeon RX 560,76883,0,0,0,2073600,8520.710059,1024,Amd,Amd,Windows 10,Gaming,Mid
Acer,Aspire 5,Notebook,15.6,8,Windows 10,2.2,689,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Nvidia,GeForce MX150,75783,0,0,0,2073600,8520.710059,1024,Intel,Nvidia,Windows 10,Notebook,Mid
HP,Probook 430,Notebook,13.3,16,Windows 10,1.49,1197,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,131658,0,0,0,2073600,11722.53943,512,Intel,Intel,Windows 10,Notebook,Upper-Mid
Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,1195,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1060,131438,0,0,0,2073600,8520.710059,256,Intel,Nvidia,Windows 10,Gaming,Upper-Mid
Asus,Zenbook UX430UA,Ultrabook,14,8,Windows 10,1.25,1049,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,115380,0,0,0,2073600,10579.59184,256,Intel,Intel,Windows 10,Ultrabook,Upper-Mid
